01:57:08.560 [main] INFO  utils.Log - Browser parameter is : EDGE
01:57:11.789 [main] INFO  utils.Log - Edge =--> Thread.id = 1
01:57:14.965 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:14.965 [main] INFO  utils.Log - Started test :TC2Homework - navigateToBlog
01:57:14.965 [main] INFO  utils.Log - TC2Homework
01:57:14.965 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:14.967 [main] INFO  utils.Log - Start time :2023.04.24.01.57.14
01:57:14.967 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.547 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.547 [main] INFO  utils.Log - Passed test :navigateToBlog
01:57:15.547 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.547 [main] INFO  utils.Log - End time :2023.04.24.01.57.15
01:57:15.547 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.550 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.550 [main] INFO  utils.Log - Started test :TC2Homework - checkBlogs
01:57:15.550 [main] INFO  utils.Log - TC2Homework
01:57:15.550 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.550 [main] INFO  utils.Log - Start time :2023.04.24.01.57.15
01:57:15.550 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.629 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.630 [main] INFO  utils.Log - Passed test :checkBlogs
01:57:15.630 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.630 [main] INFO  utils.Log - End time :2023.04.24.01.57.15
01:57:15.630 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.631 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.631 [main] INFO  utils.Log - Started test :TC2Homework - postCommentInBlog1
01:57:15.631 [main] INFO  utils.Log - TC2Homework
01:57:15.631 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:15.632 [main] INFO  utils.Log - Start time :2023.04.24.01.57.15
01:57:15.632 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:25.664 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:25.664 [main] INFO  utils.Log - Passed test :postCommentInBlog1
01:57:25.665 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
01:57:25.665 [main] INFO  utils.Log - End time :2023.04.24.01.57.25
01:57:25.665 [main] INFO  utils.Log - +++++++++++++++++++++++++++++++++
